stt,GSA1,GSA2,GSA3,GSA4,CE1,CE2,CE3,CE4,CE5,CE6,CE7,CE8,MA1,MA2,MA3,MA4,MA5,VA1,VA2,VA3,VA4,FE1,FE2,FE3,PE1,PE2,PE3
72,5,4,3,5,5,2,4,3,4,5,3,4,5,3,4,4,4,5,4,3,4,4,5,5,5,4,4
73,5,3,5,4,3,3,4,4,3,4,5,5,5,4,4,4,5,3,5,4,5,3,4,4,5,5,5
74,5,5,1,5,5,5,5,3,5,3,4,5,5,4,4,3,5,3,4,3,4,4,4,3,5,5,5
75,5,4,5,3,5,5,3,4,4,5,5,4,3,5,5,5,5,4,4,4,5,5,5,3,5,5,5
76,4,3,4,5,5,5,5,3,4,4,5,5,4,5,5,4,4,4,5,5,4,5,3,4,5,5,5
77,4,5,4,3,3,5,4,4,3,4,3,4,4,3,3,5,3,4,5,3,4,5,4,5,2,3,4
78,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,4,4,5,5,5,5,3,3,4,3,3,3
79,3,4,4,4,4,2,2,4,2,4,4,4,5,5,5,5,5,4,4,4,3,4,2,4,4,3,4
80,5,4,5,5,4,4,4,5,5,5,5,4,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5
81,4,4,4,3,5,4,4,4,3,3,3,4,3,4,4,4,5,3,3,4,3,5,4,4,4,5,4
82,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
83,4,4,4,5,4,5,4,4,5,5,4,4,4,4,4,5,5,4,4,5,4,4,3,5,4,5,4
84,5,5,5,5,4,4,5,5,3,3,5,5,5,3,4,4,5,5,5,5,5,4,5,5,4,3,4
85,3,4,4,5,4,5,4,5,5,5,3,4,4,4,5,5,4,5,5,5,5,4,4,5,5,4,5
86,4,4,5,5,3,4,3,4,5,5,5,4,4,5,4,5,5,4,5,5,5,4,4,5,4,4,4
87,3,5,5,5,3,2,1,2,1,1,1,1,5,5,5,3,3,4,5,4,5,2,2,2,3,3,3
88,3,4,3,3,2,3,2,2,2,2,3,2,4,4,4,5,3,4,3,4,4,3,3,3,3,3,4
89,4,5,3,4,3,2,3,4,3,5,4,3,4,3,4,5,4,4,3,4,3,3,3,4,4,5,4
90,4,4,3,5,3,4,5,5,5,3,4,4,3,4,4,3,3,4,3,4,4,4,3,5,4,3,4
91,4,5,4,4,4,4,4,3,4,3,3,3,4,4,3,3,3,4,2,2,2,3,3,3,4,4,4
92,4,5,5,5,5,4,4,5,3,4,5,4,5,5,5,5,5,5,5,5,5,4,3,5,5,4,5
93,4,3,5,4,5,4,3,5,5,4,3,4,5,4,3,5,4,4,3,5,3,5,4,3,3,4,5
94,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4
